Date,Close_HSI_Hang_Seng,Close_HSI_Nikkei_225,Close_N225_Hang_Seng,Close_N225_Nikkei_225,HSI_Pct_Change,N225_Pct_Change,Asian_Avg_Pct_Change,Close_HSI,Close_N225
2022-02-01,,,,27078.4805,0.0000,0.2833,0.1417,,
2022-02-02,,,,27533.5996,0.0000,1.6807,0.8404,,
2022-02-03,,,,27241.3105,0.0000,-1.0616,-0.5308,,
2022-02-04,24573.2891,,,27439.9902,3.2393,0.7293,1.9843,,
2022-02-07,24579.5508,,,27248.8691,0.0255,-0.6965,-0.3355,,
2022-02-08,24329.4902,,,27284.5195,-1.0174,0.1308,-0.4433,,
2022-02-09,24829.9902,,,27579.8691,2.0572,1.0825,1.5698,,
2022-02-10,24924.3496,,,27696.0801,0.3800,0.4214,0.4007,,
2022-02-11,24906.6602,,,,-0.0710,0.0000,-0.0355,,
2022-02-14,24556.5703,,,27079.5898,-1.4056,-2.2259,-1.8158,,
2022-02-15,24355.7109,,,26865.1895,-0.8179,-0.7917,-0.8048,,
2022-02-16,24718.9004,,,27460.4004,1.4912,2.2155,1.8534,,
2022-02-17,24792.7695,,,27232.8691,0.2988,-0.8286,-0.2649,,
2022-02-18,24327.7109,,,27122.0703,-1.8758,-0.4069,-1.1413,,
2022-02-21,24170.0703,,,26910.8691,-0.6480,-0.7787,-0.7133,,
2022-02-22,23520.0000,,,26449.6094,-2.6896,-1.7140,-2.2018,,
2022-02-23,23660.2793,,,,0.5964,0.0000,0.2982,,
2022-02-24,22901.5605,,,25970.8203,-3.2067,-1.8102,-2.5085,,
2022-02-25,22767.1797,,,26476.5000,-0.5868,1.9471,0.6802,,
2022-02-28,22713.0195,,,26526.8203,-0.2379,0.1901,-0.0239,,
2022-03-01,22761.7109,,,26844.7207,0.2144,1.1984,0.7064,,
2022-03-02,22343.9199,,,26393.0293,-1.8355,-1.6826,-1.7591,,
2022-03-03,22467.3398,,,26577.2695,0.5524,0.6981,0.6252,,
2022-03-04,21905.2891,,,25985.4707,-2.5016,-2.2267,-2.3642,,
2022-03-07,21057.6309,,,25221.4102,-3.8697,-2.9403,-3.4050,,
2022-03-08,20765.8691,,,24790.9492,-1.3855,-1.7067,-1.5461,,
2022-03-09,20627.7109,,,24717.5293,-0.6653,-0.2962,-0.4807,,
2022-03-10,20890.2598,,,25690.4004,1.2728,3.9360,2.6044,,
2022-03-11,20553.7891,,,25162.7793,-1.6107,-2.0538,-1.8322,,
2022-03-14,19531.6602,,,25307.8496,-4.9729,0.5765,-2.1982,,
2022-03-15,18415.0801,,,25346.4805,-5.7168,0.1526,-2.7821,,
2022-03-16,20087.5000,,,25762.0098,9.0818,1.6394,5.3606,,
2022-03-17,21501.2305,,,26652.8906,7.0379,3.4581,5.2480,,
2022-03-18,21412.4004,,,26827.4297,-0.4131,0.6549,0.1209,,
2022-03-21,21221.3398,,,,-0.8923,0.0000,-0.4461,,
2022-03-22,21889.2793,,,27224.1094,3.1475,1.4786,2.3131,,
2022-03-23,22154.0801,,,28040.1602,1.2097,2.9975,2.1036,,
2022-03-24,21945.9492,,,28110.3906,-0.9395,0.2505,-0.3445,,
2022-03-25,21404.8809,,,28149.8398,-2.4655,0.1403,-1.1626,,
2022-03-28,21684.9707,,,27943.8906,1.3085,-0.7316,0.2885,,
2022-03-29,21927.6309,,,28252.4199,1.1190,1.1041,1.1116,,
2022-03-30,22232.0293,,,28027.2500,1.3882,-0.7970,0.2956,,
2022-03-31,21996.8496,,,27821.4297,-1.0578,-0.7344,-0.8961,,
2022-04-01,22039.5508,,,27665.9805,0.1941,-0.5587,-0.1823,,
2022-04-04,22502.3105,,,27736.4707,2.0997,0.2548,1.1772,,
2022-04-05,,,,27787.9805,0.0000,0.1857,0.0929,,
2022-04-06,22080.5195,,,27350.3008,-1.8744,-1.5751,-1.7248,,
2022-04-07,21808.9805,,,26888.5703,-1.2298,-1.6882,-1.4590,,
2022-04-08,21872.0098,,,26985.8008,0.2890,0.3616,0.3253,,
2022-04-11,21208.3008,,,26821.5195,-3.0345,-0.6088,-1.8216,,
2022-04-12,21319.1309,,,26334.9805,0.5226,-1.8140,-0.6457,,
2022-04-13,21374.3691,,,26843.4902,0.2591,1.9309,1.0950,,
2022-04-14,21518.0801,,,27172.0000,0.6724,1.2238,0.9481,,
2022-04-15,,,,27093.1895,0.0000,-0.2900,-0.1450,,
2022-04-18,,,,26799.7109,0.0000,-1.0832,-0.5416,,
2022-04-19,21027.7598,,,26985.0898,-2.2786,0.6917,-0.7935,,
2022-04-20,20944.6699,,,27217.8496,-0.3951,0.8625,0.2337,,
2022-04-21,20682.2207,,,27553.0605,-1.2531,1.2316,-0.0107,,
2022-04-22,20638.5195,,,27105.2598,-0.2113,-1.6252,-0.9183,,
